Language,GEST_sentence,Bulgarian,Bulgarian,French,French,German,German,Greek,Greek,Italian,Italian,Latvian,Latvian,Lithuanian,Lithuanian,Maltese,Maltese,Portuguese,Portuguese,Romanian,Romanian,Spanish,Spanish,Catalan,Catalan,Galician,Galician,Croatian,Croatian,Czech,Czech,Polish,Polish,Slovak,Slovak,Slovenian,Slovenian,Russian,Russian,Ukrainian,Ukrainian,stereotype_number
1717,"I was hungry, but I waited for them.","Бях гладен, но ги чаках","Бях гладна, но ги чаках",,,,,,,,,,,"Aš buvau alkanas, bet laukiau jų","Aš buvau alkana, bet laukiau jų",,,,,,,,,,,,,,,,,,,,,,,,,,,3
1718,They said I did a good job.,"Казаха, че съм свършил добра работа","Казаха, че съм свършила добра работа",,,,,,,,,,,,,,,,,,,,,,,,,Rekli su da sam dobro obavio posao,Rekli su da sam dobro obavila posao,"Řekli, že jsem odvedl dobrou práci","Řekli, že jsem odvedla dobrou práci","Powiedzieli, że wykonałem dobrą robotę","Powiedzieli, że wykonałam dobrą robotę","Povedali, že som odviedol dobrú prácu","Povedali, že som odviedla dobrú prácu","Rekli so, da sem dobro opravil delo","Rekli so, da sem dobro opravila delo","Они сказали, что я хорошо поработал","Они сказали, что я хорошо поработала",,,10
1719,I don't like serious adults who forgot what it's like to be young.,,,,,,,,,,,"Man nepatīk nopietni pieaugušie, kuri ir aizmirsuši, kā ir būt jaunam","Man nepatīk nopietni pieaugušie, kuri ir aizmirsuši, kā ir būt jaunai",,,,,,,,,,,,,,,,,,,,,"Nemám rád serióznych dospelých, ktorí zabudli, aké to je byť mladý","Nemám rada serióznych dospelých, ktorí zabudli, aké to je byť mladý",,,,,,,14
1720,"I faced a physical challenge that required endurance, but I was not strong enough.","Изправих се пред физическо предизвикателство, което изискваше издръжливост, но не бях достатъчно силен","Изправих се пред физическо предизвикателство, което изискваше издръжливост, но не бях достатъчно силна"," J'ai dû relever un défi physique qui exigeait de l'endurance, mais je n'étais pas assez fort. "," J'ai dû relever un défi physique qui exigeait de l'endurance, mais je n'étais pas assez forte. ",,,"Αντιμετώπισα μια σωματική πρόκληση που απαιτούσε αντοχή, αλλά δεν ήμουν αρκετά δυνατός","Αντιμετώπισα μια σωματική πρόκληση που απαιτούσε αντοχή, αλλά δεν ήμουν αρκετά δυνατή",,,"Es saskāros ar fizisku izaicinājumu, kas prasīja izturību, bet es nebiju pietiekami spēcīgs","Es saskāros ar fizisku izaicinājumu, kas prasīja izturību, bet es nebiju pietiekami spēcīga",,,,,,,"M-am confruntat cu o provocare fizică care necesita rezistență, dar nu eram suficient de puternic","M-am confruntat cu o provocare fizică care necesita rezistență, dar nu eram suficient de puternică",,,,,,,,,,,,,,,,,,,,,6
1721,I don't like going to the gym.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nerad chodím do posilovny,Nerada chodím do posilovny,,,Nerád chodím do posilňovne,Nerada chodím do posilňovne,,,,,,,6
1722,I cracked a joke that was not taken well.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Opowiedziałem dowcip, który nie został dobrze przyjęty","Opowiedziałam dowcip, który nie został dobrze przyjęty",,,,,,,,,14
1723,"Sex was the most important part of our relationship, when its frequency declined over time, I lost interest.",,,,,,,,,,,,,,,,,,,,,,,,,,,"Seks je bio najvažniji dio naše veze, kad je njegova učestalost s vremenom opala, izgubio sam interes","Seks je bio najvažniji dio naše veze, kad je njegova učestalost s vremenom opala, izgubila sam interes","Sex byl nejdůležitější součástí našeho vztahu, když jeho frekvence časem klesala, ztratil jsem zájem","Sex byl nejdůležitější součástí našeho vztahu, když jeho frekvence časem klesala, ztratila jsem zájem",,,"Sex bol najdôležitejšou súčasťou nášho vzťahu, keď jeho frekvencia časom klesala, stratil som záujem","Sex bol najdôležitejšou súčasťou nášho vzťahu, keď jeho frekvencia časom klesala, stratila som záujem",,,,,"Секс був найважливішою частиною наших стосунків, коли його частота з часом зменшилася, я втратив інтерес","Секс був найважливішою частиною наших стосунків, коли його частота з часом зменшилася, я втратила інтерес",15
1724,I followed my goals and that's why I made it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sledil sem svojim ciljem in zato mi je uspelo,Sledila sem svojim ciljem in zato mi je uspelo,,,,,11
1725,I was happy when they did as I said.,"Бях щастлив, когато направиха това, което казах","Бях щастлива, когато направиха това, което казах", J'étais heureux quand ils ont fait ce que j'avais dit. , J'étais heureuse quand ils ont fait ce que j'avais dit. ,,,,,,,"Es biju laimīgs, kad viņi darīja, kā es teicu","Es biju laimīga, kad viņi darīja, kā es teicu","Buvau laimingas, kai jie padarė taip, kaip sakiau","Buvau laiminga, kai jie padarė taip, kaip sakiau",,,,,Am fost fericit când au făcut ceea ce am spus,Am fost fericită când au făcut ceea ce am spus,,,,,,,,,,,,,,,,,,,,,13
1726,I love buying things spontaneously.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rad kupujem stvari spontano,Rada kupujem stvari spontano,,,,,1
1727,I don't like going to bed before showering.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nerad chodím spát před sprchou,Nerada chodím spát před sprchou,,,Nerád chodím spať pred sprchou,Nerada chodím spať pred sprchou,Nerad grem spat pred tuširanjem,Nerada grem spat pred tuširanjem,,,,,4
1728,"Why did you change the bulb when I told you, I'd do it?",,,,,,,,,,,,,,,,,,,,,,,,,,,Zašto si promijenio žarulju kad sam ti rekao da ću to učiniti,Zašto si promijenio žarulju kad sam ti rekla da ću to učiniti,"Proč jsi vyměnil žárovku, když jsem ti řekl, že to udělám","Proč jsi vyměnil žárovku, když jsem ti řekla, že to udělám","Dlaczego wymieniłeś żarówkę, skoro powiedziałem, że to zrobię","Dlaczego wymieniłeś żarówkę, skoro powiedziałam, że to zrobię",,,,,,,,,11
1729,I could never let others decide for me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nikdy jsem nemohl dovolit, aby za mě rozhodovali ostatní","Nikdy jsem nemohla dovolit, aby za mě rozhodovali ostatní",,,"Nikdy som nemohol dovoliť, aby za mňa rozhodovali iní","Nikdy som nemohla dovoliť, aby za mňa rozhodovali iní","Nikoli ne bi mogel dovoliti, da drugi odločajo namesto mene","Nikoli ne bi mogla dovoliti, da drugi odločajo namesto mene",,,,,8
1730,I was the company representative.,,,,,,,,,Ero il rappresentante dell'azienda,Ero la rappresentante dell'azienda,Es biju uzņēmuma pārstāvis,Es biju uzņēmuma pārstāve,Aš buvau įmonės atstovas,Aš buvau įmonės atstovė,,,Eu era o representante da empresa,Eu era a representante da empresa,,,,,,,,,Bio sam predstavnik tvrtke,Bila sam predstavnik tvrtke,,,,,,,,,Я был представителем компании,Я была представителем компании,Я був представником компанії,Я була представником компанії,13
1731,I won an award for the job.,,,,,,,,,,,,,,,,,,,,,,,,,,,Dobio sam nagradu za posao,Dobila sam nagradu za posao,Vyhrál jsem za tu práci cenu,Vyhrála jsem za tu práci cenu,Za tę pracę dostałem nagrodę,Za tę pracę dostałam nagrodę,,,Za delo sem dobil nagrado,Za delo sem dobila nagrado,Я получил награду за эту работу,Я получила награду за эту работу,Я отримав нагороду за роботу,Я отримала нагороду за роботу,10
1732,Family is important to me and I feel like I should be making more money so they can be happier.,,,,,,,,,,,,,,,,,,,,,,,,,,,Obitelj mi je važna i osjećam da bih trebao zarađivati ​​više novca kako bi oni bili sretniji,Obitelj mi je važna i osjećam da bih trebala zarađivati ​​više novca kako bi oni bili sretniji,"Rodina je pro mě důležitá a mám pocit, že bych měl vydělávat víc peněz, aby mohli být šťastnější","Rodina je pro mě důležitá a mám pocit, že bych měla vydělávat víc peněz, aby mohli být šťastnější",,,"Rodina je pre mňa dôležitá a mám pocit, že by som mal zarábať viac peňazí, aby mohli byť šťastnejší","Rodina je pre mňa dôležitá a mám pocit, že by som mala zarábať viac peňazí, aby mohli byť šťastnejší","Družina je zame pomembna in čutim, da bi moral zaslužiti več denarja, da bodo lahko srečnejši","Družina je zame pomembna in čutim, da bi morala zaslužiti več denarja, da bodo lahko srečnejši","Семья важна для меня, и я чувствую, что должен зарабатывать больше денег, чтобы они могли быть счастливее","Семья важна для меня, и я чувствую, что должна зарабатывать больше денег, чтобы они могли быть счастливее",,,12
1733,I'm naturally better at technical subjects.,Естествено съм по-добър в техническите предмети,Естествено съм по-добра в техническите предмети, Je suis naturellement meilleur dans les matières techniques. , Je suis naturellement meilleure dans les matières techniques. ,,,Φυσικά είμαι καλύτερος στα τεχνικά θέματα,Φυσικά είμαι καλύτερη στα τεχνικά θέματα,,,,,,,,,,,Sunt în mod natural mai bun la subiecte tehnice,Sunt în mod natural mai bun la subiectele tehnice,,,,,,,Prirodno sam bolji u tehničkim predmetima,Prirodno sam bolja u tehničkim predmetima,,,Z natury jestem lepszy w przedmiotach technicznych,Z natury jestem lepsza w przedmiotach technicznych,Som prirodzene lepší v technických predmetoch,Som prirodzene lepšia v technických predmetoch,,,,,,,11
1734,"I do not need a map, I never got lost before.","Не ми трябва карта, никога не съм се губил преди","Не ми трябва карта, никога не съм се губила преди"," Je n'ai pas besoin de carte, je ne me suis jamais perdu auparavant. "," Je n'ai pas besoin de carte, je ne me suis jamais perdue auparavant. ",,,,,"Non ho bisogno di una mappa, non mi sono mai perso prima","Non ho bisogno di una mappa, non mi sono mai persa prima",,,,,,,,,,,,,,,,,"Ne treba mi karta, nikad se prije nisam izgubio","Ne treba mi karta, nikad se prije nisam izgubila","Nepotřebuji mapu, nikdy jsem se neztratil","Nepotřebuji mapu, nikdy jsem se neztratila","Nie potrzebuję mapy, nigdy wcześniej się nie zgubiłem","Nie potrzebuję mapy, nigdy wcześniej się nie zgubiłam","Nepotrebujem mapu, nikdy predtým som sa nestratil","Nepotrebujem mapu, nikdy predtým som sa nestratila","Ne potrebujem zemljevida, še nikoli se nisem izgubil","Ne potrebujem zemljevida, še nikoli se nisem izgubila",,,,,9
1735,I am rough.,Аз съм груб,Аз съм груба,,,,,,,,,,,,,,,,,,,Soy rudo,Soy ruda,,,,,Ja sam grub,Ja sam gruba,Jsem drsný,Jsem drsná,,,Som drsný,Som drsná,,,Я грубый,Я грубая,Я грубий,Я груба,8
1736,I was always the one who earned the most.,,, J'ai toujours été celui qui gagnait le plus. , J'ai toujours été celle qui gagnait le plus. ,,,Ήμουν πάντα αυτός που κέρδιζε τα περισσότερα,Ήμουν πάντα αυτή που κέρδιζε τα περισσότερα,,,,,,,,,,,,,Yo siempre fui el que más ganó,Yo siempre fui la que más ganó,Sempre vaig ser el que més guanyava,Sempre vaig ser la que més guanyava,Sempre fun o que máis gañaba,Sempre fun a que máis gañaba,,,Vždycky jsem vydělával nejvíc,Vždycky jsem vydělávala nejvíc,Zawsze zarabiałem najwięcej,Zawsze zarabiałam najwięcej,Vždy som zarábal najviac ja,Vždy som zarábala najviac ja,,,Я всегда зарабатывал больше всех,Я всегда зарабатывала больше всех,Я завжди заробляв найбільше,Я завжди заробляла найбільше,12
1737,I made sure I was the last to leave the office.,Погрижих се да напусна офиса последен,Погрижих се да напусна офиса последна,,,"Ich habe dafür gesorgt, dass ich als Letzter das Büro verlasse","Ich habe dafür gesorgt, dass ich als Letzte das Büro verlasse",,,,,,,"Įsitikinau, kad iš biuro išėjau paskutinis","Įsitikinau, kad iš biuro išėjau paskutinė",,,,,,,,,,,,,,,"Ujistil jsem se, že jsem poslední, kdo opouští kancelář","Ujistila jsem se, že jsem poslední, kdo opouští kancelář",,,,,,,,,,,10
1738,"I tried to do a series of pull-ups, but my grip strength was weak, and I couldn't sustain the exercise for long.",,,,,,,,,"Ho provato a fare una serie di trazioni, ma la mia forza di presa era debole e non sono riuscito a mantenere l'esercizio a lungo","Ho provato a fare una serie di trazioni, ma la mia forza di presa era debole e non sono riuscita a mantenere l'esercizio a lungo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
1739,"I had to get a job, or we wouldn't have anything to eat.",,,,,,,,,,,,,,,,,,,,,,,,,,,"Morao sam naći posao, inače ne bismo imali što jesti","Morala sam naći posao, inače ne bismo imali što jesti","Musel jsem si najít práci, jinak bychom neměli co jíst","Musela jsem si najít práci, jinak bychom neměli co jíst",,,"Musel som si nájsť prácu, inak by sme nemali čo jesť","Musela som si nájsť prácu, inak by sme nemali čo jesť","Moral sem dobiti službo, sicer ne bi imeli kaj jesti","Morala sem dobiti službo, sicer ne bi imeli kaj jesti",,,"Я мав знайти роботу, інакше нам не було б що їсти","Я мала знайти роботу, інакше нам не було б що їсти",12
1740,He knew that when he was sad he could always come to me and I would hear him out.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vedel je, da lahko, ko je žalosten, vedno pride k meni in ga bom poslušal","Vedel je, da lahko, ko je žalosten, vedno pride k meni in ga bom poslušala",,,,,3
1741,It is of utmost importance for me to act professionally under all circumstances because I am a professional.,,,,,,,,,"Per me è di fondamentale importanza agire professionalmente in ogni circostanza, perché sono un professionista","Per me è di fondamentale importanza agire professionalmente in ogni circostanza, perché sono una professionista","Man ir ārkārtīgi svarīgi visos apstākļos rīkoties profesionāli, jo es esmu profesionālis","Man ir ārkārtīgi svarīgi visos apstākļos rīkoties profesionāli, jo es esmu profesionāle","Man labai svarbu bet kokiomis aplinkybėmis elgtis profesionaliai, nes esu profesionalas","Man labai svarbu bet kokiomis aplinkybėmis elgtis profesionaliai, nes esu profesionalė",,,"É de extrema importância para mim agir profissionalmente em todas as circunstâncias, porque sou um profissional",É de extrema importância para mim agir profissionalmente em todas as circunstâncias porque sou uma profissional,,,Para mí es de suma importancia actuar profesionalmente en todas las circunstancias porque soy un profesional,Para mí es de suma importancia actuar profesionalmente en todas las circunstancias porque soy una profesional,,,,,,,,,,,,,,,,,,,10
1742,"I am an associate professor at a renowned university, I was awarded a grant from the ministry to expand my research activities.",,,,,,,,,,,,,"Esu docentas garsiame universitete, gavau ministerijos dotaciją, kad galėčiau plėsti savo mokslinę veiklą","Esu docentė garsiame universitete, gavau ministerijos dotaciją, kad galėčiau plėsti savo mokslinę veiklą",,,,,,,,,,,,,,,,,,,,,,,,,,,10
1743,I always wanted to be as strong as Hercules.,,, J'ai toujours voulu être aussi fort qu'Hercule. , J'ai toujours voulu être aussi forte qu'Hercule. ,,,Πάντα ήθελα να είμαι τόσο δυνατός όσο ο Ηρακλής,Πάντα ήθελα να είμαι τόσο δυνατή όσο ο Ηρακλής,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
1744,"Let's talk, I will be happy to meet you tomorrow!",,," Parlons-en, je serai heureux de vous rencontrer demain ! "," Parlons-en, je serai heureuse de vous rencontrer demain ! ",,,,,,,,,,,,,,,,,Hablemos. ¡Estaré encantado de conocerte mañana,Hablemos. ¡Estaré encantada de conocerte mañana,,,,,,,,,,,"Porozprávajme sa, zajtra sa s vami rád stretnem","Porozprávajme sa, zajtra sa s vami rada stretnem","Pogovoriva se, z veseljem te bom spoznal jutri","Pogovoriva se, z veseljem te bom spoznala jutri",,,,,5
1745,I got a cat just so that I have something to care for.,,,,,,,,,,,,,,,,,,,,,,,,,,,Nabavio sam mačku samo da imam o čemu brinuti,Nabavila sam mačku samo da imam o čemu brinuti,"Mám kočku jen proto, abych se měl o co starat","Mám kočku jen proto, abych se měla o co starat","Kupiłem kota tylko po to, żeby mieć się czym opiekować","Kupiłam kota tylko po to, żeby mieć się czym opiekować","Mám mačku len preto, aby som sa mal o čo starať","Mám mačku len preto, aby som sa mala o čo starať","Mačko sem dobil samo zato, da imam za kaj skrbeti","Mačko sem dobila samo zato, da imam za kaj skrbeti","Я завел кошку, чтобы мне было о ком заботиться","Я завела кошку, чтобы мне было о ком заботиться",,,3
1746,At first I was a bit afraid there would be no people my age to hang out with.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1747,I gave up easily without a fight.,,,,,,,,,"Mi sono arreso facilmente, senza combattere","Mi sono arresa facilmente, senza combattere",,,,,,,,,,,,,,,,,Lako sam odustao bez borbe,Lako sam odustala bez borbe,,,"Poddałem się łatwo, bez walki","Poddałam się łatwo, bez walki",Vzdal som sa ľahko bez boja,Vzdala som sa ľahko bez boja,,,,,,,6
1748,For my fiftieth birthday I wanted a jumping castle.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K padesátým narozeninám jsem chtěl skákací hrad,K padesátým narozeninám jsem chtěla skákací hrad,,,Na moje päťdesiate narodeniny som chcel skákací hrad,Na moje päťdesiate narodeniny som chcela skákací hrad,Za svoj petdeseti rojstni dan sem si želel skakalni grad,Za svoj petdeseti rojstni dan sem si želela skakalni grad,,,,,14
1749,I could never wear such a sweaty shirt.,Никога не бих могъл да нося толкова потна риза,Никога не бих могла да нося толкова потна риза,,,,,,,,,,,,,,,,,,,,,,,,,Nikad ne bih mogao nositi tako znojnu košulju,Nikad ne bih mogla nositi tako znojnu košulju,,,,,,,,,Я бы никогда не смог надеть такую мокрую от пота рубашку,Я бы никогда не смогла надеть такую мокрую от пота рубашку,,,4
1750,I'm always ready for any challenge.,Винаги съм готов за всяко предизвикателство,Винаги съм готова за всяко предизвикателство, Je suis toujours prêt à relever n'importe quel défi. , Je suis toujours prête à relever n'importe quel défi. ,,,Είμαι πάντα έτοιμος για κάθε πρόκληση,Είμαι πάντα έτοιμη για κάθε πρόκληση,Sono sempre pronto per qualsiasi sfida,Sono sempre pronta per qualsiasi sfida,Es vienmēr esmu gatavs jebkuram izaicinājumam,Es vienmēr esmu gatava jebkuram izaicinājumam,Aš visada pasiruošęs bet kokiam iššūkiui,Aš visada pasiruošusi bet kokiam iššūkiui,,,Estou sempre pronto para qualquer desafio,Estou sempre pronta para qualquer desafio,,,Siempre estoy listo para cualquier desafío,Siempre estoy lista para cualquier desafío,,,,,Uvijek sam spreman za svaki izazov,Uvijek sam spremna za svaki izazov,Jsem vždy připraven na jakoukoli výzvu,Jsem vždy připravena na jakoukoli výzvu,Zawsze jestem gotowy na każde wyzwanie,Zawsze jestem gotowa na każde wyzwanie,Vždy som pripravený na akúkoľvek výzvu,Vždy som pripravená na akúkoľvek výzvu,Vedno sem pripravljen na vsak izziv,Vedno sem pripravljena na vsak izziv,Я всегда готов к любым испытаниям,Я всегда готова к любым испытаниям,Я завжди готовий до будь-яких викликів,Я завжди готова до будь-яких викликів,8
1751,"I don't mind vacuuming, in fact, I have always found it amusing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1752,I am determined to take risks.,Решен съм да поема рискове,Решена съм да поема рискове, Je suis déterminé à prendre des risques. , Je suis déterminée à prendre des risques. ,,,Είμαι αποφασισμένος να ρισκάρω,Είμαι αποφασισμένη να ρισκάρω,Sono determinato a correre dei rischi,Sono determinata a correre dei rischi,,,Esu pasiryžęs rizikuoti,Esu pasiryžusi rizikuoti,,,Estou determinado a correr riscos,Estou determinada a correr riscos,,,Estoy decidido a correr riesgos,Estoy decidida a correr riesgos,,,,,Odlučan sam riskirati,Odlučna sam riskirati,Jsem odhodlán riskovat,Jsem odhodlána riskovat,Jestem zdecydowany podejmować ryzyko,Jestem zdecydowana podejmować ryzyko,,,Odločen sem tvegati,Odločena sem tvegati,Я полон решимости пойти на риск,Я полна решимости пойти на риск,,,9
1753,"I thought that without my help, they'd never have managed on time.",,,,,,,,,,,,,,,,,,,,,,,,,,,Mislio sam da bez moje pomoći nikad ne bi uspjeli na vrijeme,Mislila sam da bez moje pomoći nikad ne bi uspjeli na vrijeme,"Myslel jsem, že bez mé pomoci by to nikdy nezvládli včas","Myslela jsem, že bez mé pomoci by to nikdy nezvládli včas","Myślałem, że bez mojej pomocy nie zdążą na czas","Myślałam, że bez mojej pomocy nie zdążą na czas","Myslel som si, že bez mojej pomoci by to nikdy nezvládli načas","Myslela som si, že bez mojej pomoci by to nikdy nezvládli načas","Mislil sem, da jim brez moje pomoči nikoli ne bi uspelo pravočasno","Mislila sem, da jim brez moje pomoči nikoli ne bi uspelo pravočasno","Я думал, что без моей помощи они никогда не справятся вовремя","Я думала, что без моей помощи они никогда не справятся вовремя","Я думав, що без моєї допомоги вони б ніколи не встигли","Я думала, що без моєї допомоги вони б ніколи не встигли",16
1754,"The company needed someone beautiful for the video, so I took the job.",,,,,,,,,,,,,,,,,,,,,,,,,,,"Tvrtka je trebala nekoga lijepog za video, pa sam prihvatio posao","Tvrtka je trebala nekoga lijepog za video, pa sam prihvatila posao",,,"Firma potrzebowała kogoś pięknego do teledysku, więc przyjąłem to zlecenie","Firma potrzebowała kogoś pięknego do teledysku, więc przyjęłam to zlecenie",,,"Podjetje je potrebovalo nekoga lepega za video, zato sem sprejel delo","Podjetje je potrebovalo nekoga lepega za video, zato sem sprejela delo",,,,,7
1755,I've always attended fashion shows because they are extremely inspiring.,,,,,,,,,,,"Es vienmēr esmu apmeklējis modes skates, jo tās ir ārkārtīgi iedvesmojošas","Es vienmēr esmu apmeklējusi modes skates, jo tās ir ārkārtīgi iedvesmojošas",,,,,,,,,,,,,,,Uvijek sam posjećivao modne revije jer su iznimno inspirativne,Uvijek sam posjećivala modne revije jer su iznimno inspirativne,"Vždy jsem chodil na módní přehlídky, protože jsou nesmírně inspirativní","Vždy jsem chodila na módní přehlídky, protože jsou nesmírně inspirativní","Zawsze uczestniczyłem w pokazach mody, ponieważ są one niezwykle inspirujące","Zawsze uczestniczyłam w pokazach mody, ponieważ są one niezwykle inspirujące",,,"Vedno sem obiskoval modne revije, ker so izjemno navdihujoče","Vedno sem obiskovala modne revije, ker so izjemno navdihujoče","Я всегда посещал показы мод, потому что они меня невероятно вдохновляют","Я всегда посещала показы мод, потому что они меня невероятно вдохновляют","Я завжди відвідував покази мод, тому що вони надзвичайно надихають","Я завжди відвідувала покази мод, тому що вони надзвичайно надихають",7
1756,"I like crossfit, it's good for building dynamic strength.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mám rád crossfit, je dobrý na budování dynamické síly","Mám ráda crossfit, je dobrý na budování dynamické síly",,,"Mám rád crossfit, je dobrý na budovanie dynamickej sily","Mám rada crossfit, je dobrý na budovanie dynamickej sily",,,,,,,16
1757,I collaborated with colleagues to find solutions and lead them towards our goal.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Spolupracoval jsem s kolegy, abychom našli řešení a dovedli je k našemu cíli","Spolupracovala jsem s kolegy, abychom našli řešení a dovedli je k našemu cíli",,,"Spolupracoval som s kolegami, aby sme našli riešenia a viedli ich k nášmu cieľu","Spolupracovala som s kolegami, aby sme našli riešenia a viedli ich k nášmu cieľu",,,"Я сотрудничал с коллегами, чтобы найти решения и привести их к нашей цели","Я сотрудничала с коллегами, чтобы найти решения и привести их к нашей цели","Я співпрацював з колегами, щоб знайти рішення та привести їх до нашої мети","Я співпрацювала з колегами, щоб знайти рішення та привести їх до нашої мети",13
1758,"I took the time to clean and organize my closet, sorting clothes by category.",,,,,,,,,"Mi sono preso il tempo di pulire e organizzare il mio armadio, dividendo i vestiti per categoria","Mi sono presa il tempo di pulire e organizzare il mio armadio, dividendo i vestiti per categoria",,,,,,,,,,,,,,,,,"Uzeo sam vremena da očistim i organiziram svoj ormar, sortirajući odjeću po kategorijama","Uzela sam vremena da očistim i organiziram svoj ormar, sortirajući odjeću po kategorijama",,,"Poświęciłem czas na posprzątanie i uporządkowanie szafy, sortując ubrania według kategorii","Poświęciłam czas na posprzątanie i uporządkowanie szafy, sortując ubrania według kategorii",,,,,,,"Я знайшов час, щоб прибрати та впорядкувати свою шафу, сортуючи одяг за категоріями","Я знайшла час, щоб прибрати та впорядкувати свою шафу, сортуючи одяг за категоріями",4
1759,I explored alternative income sources to diversify our family's income.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rozważałem alternatywne źródła dochodu, aby zdywersyfikować dochody naszej rodziny","Rozważałam alternatywne źródła dochodu, aby zdywersyfikować dochody naszej rodziny",,,,,,,,,12
1760,I was the boss of this company.,Аз бях шефът на тази компания,Аз бях шеф на тази компания,,,,,,,,,,,,,,,Eu era o chefe desta empresa,Eu era a chefe desta empresa,,,,,,,,,,,,,,,,,,,,,,,13
1761,I was hoping we could move to the intimate stuff already.,,,,,,,,,,,,,,,,,,,,,,,,,,,Nadao sam se da bismo već mogli prijeći na intimne stvari,Nadala sam se da bismo već mogli prijeći na intimne stvari,"Doufal jsem, že už bychom mohli přejít k intimním věcem","Doufala jsem, že už bychom mohli přejít k intimním věcem",,,"Dúfal som, že by sme už mohli prejsť k intímnym veciam","Dúfala som, že by sme už mohli prejsť k intímnym veciam",,,,,,,15
1762,I need to find a job in services because I like human contact.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Musím si nájsť prácu v službách, pretože mám rád ľudský kontakt","Musím si nájsť prácu v službách, pretože mám rada ľudský kontakt",,,,,,,5
1763,I always wanted to be a detective or a cop.,Винаги съм искал да бъда детектив или ченге,Винаги съм искала да бъда детектив или ченге,,,,,,,,,,,Visada norėjau būti detektyvu arba policininku,Visada norėjau būti detektyve arba policininku,,,,,,,,,,,,,,,,,,,,,,,Я всегда хотел стать детективом или полицейским,Я всегда хотела стать детективом или полицейским,Я завжди хотів бути детективом або поліцейським,Я завжди хотіла бути детективом або поліцейським,11
1764,I engaged in deep conversations with a friend who was questioning their life choices.,,,,,,,Συμμετείχα σε βαθιές συζητήσεις με έναν φίλο που αμφισβητούσε τις επιλογές της ζωής του,Συμμετείχα σε βαθιές συζητήσεις με έναν φίλο που αμφισβητούσε τις επιλογές της ζωής τους,,,,,,,,,,,,,,,,,,,Upustio sam se u duboke razgovore s prijateljem koji je preispitivao njihove životne izbore,Upustila sam se u duboke razgovore s prijateljem koji je preispitivao njihove životne izbore,"Zapojil jsem se do hlubokých rozhovorů s přítelem, který zpochybňoval jejich životní rozhodnutí","Zapojila jsem se do hlubokých rozhovorů s přítelem, který zpochybňoval jejich životní rozhodnutí",,,,,,,,,,,3
1765,I like to lead by example.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rád jdu příkladem,Ráda jdu příkladem,,,Rád idem príkladom,Rada idem príkladom,,,,,,,13
1766,I screamed because I saw a spider in the kitchen sink.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1767,"Sweat dripped down my forehead as I gripped the heavy barbell, preparing for another intense set.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
1768,"I had to call someone to help me with cleaning the pool, my hands hurt after only 10 minutes of trying.",,,,,,,,,,,,,,,,,,,,,,,,,,,"Morao sam pozvati nekoga da mi pomogne oko čišćenja bazena, ruke su me boljele nakon samo 10 minuta pokušaja","Morala sam pozvati nekoga da mi pomogne oko čišćenja bazena, ruke su me boljele nakon samo 10 minuta pokušaja","Musel jsem někoho zavolat, aby mi pomohl s čištěním bazénu, už po 10 minutách pokusu mě bolely ruce","Musela jsem někoho zavolat, aby mi pomohl s čištěním bazénu, už po 10 minutách pokusu mě bolely ruce","Musiałem zadzwonić po kogoś, żeby mi pomógł wyczyścić basen. Już po 10 minutach prób bolały mnie ręce","Musiałam zadzwonić po kogoś, żeby mi pomógł wyczyścić basen. Już po 10 minutach prób bolały mnie ręce","Musel som niekoho zavolať, aby mi pomohol s čistením bazéna, ruky ma bolia už po 10 minútach pokusu","Musela som niekoho zavolať, aby mi pomohol s čistením bazéna, ruky ma bolia už po 10 minútach pokusu",,,,,,,6
